match_id,date,team_A,team_B,gain_mpp_1,gain_mpp_N,gain_mpp_2,crowd_1,crowd_N,crowd_2,cote_1,cote_N,cote_2,phase,bet,result
1,2026-06-11,mexique,afrique_du_sud,49,125,148,0.85,0.08,0.07,1.454,4.6,9,Poule_J1,mexique,mexique
2,2026-06-12,coree_du_sud,tchequie,96,107,91,0.31,0.5,0.19,2.72,3.1,3.02,Poule_J1,coree_du_sud,coree_du_sud
3,2026-06-12,canada,bosnie,65,117,125,0.63,0.21,0.16,1.847,3.62,4.87,Poule_J1,canada,nul
4,2026-06-13,etats_unis,paraguay,74,113,115,0.64,0.2,0.16,2.16,3.24,3.98,Poule_J1,etats_unis,etats_unis
5,2026-06-13,qatar,suisse,172,141,33,0.05,0.06,0.89,16,7.75,1.206,Poule_J1,suisse,nul
6,2026-06-14,bresil,maroc,55,122,140,0.53,0.29,0.18,1.714,3.72,5.8,Poule_J1,bresil,nul
7,2026-06-14,haiti,ecosse,154,131,44,0.04,0.08,0.89,6.25,4.6,1.555,Poule_J1,ecosse,ecosse
8,2026-06-14,australie,turquie,126,115,66,0.08,0.21,0.71,5.53,3.9,1.704,Poule_J1,turquie,australie
9,2026-06-14,allemagne,curacao,15,179,222,0.97,0.02,0.01,1.05,23,41,Poule_J1,allemagne,allemagne
10,2026-06-14,pays_bas,japon,74,115,113,0.6,0.26,0.14,2.11,3.53,3.79,Poule_J1,pays_bas,nul
11,2026-06-15,cote_d_ivoire,equateur,108,101,85,0.44,0.41,0.14,3.32,2.91,2.65,Poule_J1,nul,cote_d_ivoire
12,2026-06-15,suede,tunisie,72,110,122,0.64,0.26,0.11,1.98,3.43,4.43,Poule_J1,suede,suede
13,2026-06-15,espagne,cap_vert,16,166,217,0.98,0.01,0.01,1.09,14.5,28.5,Poule_J1,espagne,nul
14,2026-06-15,belgique,egypte,57,122,135,0.81,0.14,0.05,1.54,4.4,7,Poule_J1,belgique,nul
15,2026-06-16,arabie_saoudite,uruguay,146,125,50,0.06,0.14,0.81,9,4.6,1.444,Poule_J1,uruguay,nul
16,2026-06-16,iran,nouvelle_zelande,63,116,130,0.35,0.44,0.21,1.813,3.6,5.12,Poule_J1,iran,nul
17,2026-06-16,france,senegal,46,128,153,0.85,0.12,0.03,1.5,4.55,7.5,Poule_J1,france,france
18,2026-06-17,irak,norvege,178,144,30,0.02,0.09,0.89,13,6.9,1.25,Poule_J1,norvege,norvege
19,2026-06-17,argentine,algerie,43,129,159,0.8,0.14,0.06,1.454,4.6,8.6,Poule_J1,argentine,argentine
20,2026-06-17,autriche,jordanie,38,136,163,0.83,0.14,0.03,1.377,5.3,9.5,Poule_J1,autriche,autriche
21,2026-06-17,portugal,congo,34,140,170,0.94,0.05,0.01,1.307,5.7,12.5,Poule_J1,portugal,nul
22,2026-06-17,angleterre,croatie,59,119,133,0.55,0.38,0.07,1.719,3.85,5.47,Poule_J1,angleterre,angleterre
23,2026-06-18,ghana,panama,73,113,116,0.58,0.36,0.07,2.45,3.2,3.32,Poule_J1,panama,ghana
24,2026-06-18,ouzbekistan,colombie,157,130,44,0.03,0.08,0.89,10,4.95,1.392,Poule_J1,colombie,colombie
25,2026-06-18,tchequie,afrique_du_sud,62,112,142,0.56,0.29,0.14,1.909,3.51,4.67,Poule_J2,tchequie,nul
26,2026-06-18,suisse,bosnie,76,108,134,0.7,0.23,0.07,1.598,4.2,6.35,Poule_J2,suisse,suisse
27,2026-06-19,canada,qatar,71,104,148,0.73,0.2,0.07,1.322,5.7,11.25,Poule_J2,canada,canada
28,2026-06-19,mexique,coree_du_sud,69,117,129,0.52,0.34,0.15,2.11,3.25,4.16,Poule_J2,nul,mexique
29,2026-06-19,etats_unis,australie,58,119,153,0.73,0.2,0.07,1.649,4.2,5.55,Poule_J2,etats_unis,etats_unis
30,2026-06-20,ecosse,maroc,99,112,91,0.04,0.16,0.79,6.21,3.73,1.68,Poule_J2,maroc,maroc
31,2026-06-20,bresil,haiti,21,167,198,0.95,0.04,0.01,1.126,11.5,22,Poule_J2,bresil,bresil
32,2026-06-20,turquie,paraguay,84,113,126,0.56,0.33,0.11,2.1,3.45,3.91,Poule_J2,turquie,paraguay
33,2026-06-20,pays_bas,suede,67,122,131,0.57,0.31,0.12,1.719,4.1,5.02,Poule_J2,pays_bas,pays_bas
34,2026-06-20,allemagne,cote_d_ivoire,38,137,164,0.82,0.14,0.04,1.45,5,7.5,Poule_J2,allemagne,allemagne
35,2026-06-21,equateur,curacao,41,143,168,0.82,0.14,0.04,1.178,8.5,17.5,Poule_J2,equateur,nul
36,2026-06-21,tunisie,japon,118,103,91,0.09,0.18,0.73,8,4.5,1.476,Poule_J2,japon,japon
37,2026-06-21,espagne,arabie_saoudite,31,139,176,0.95,0.04,0.01,1.121,11.5,23.5,Poule_J2,espagne,espagne
38,2026-06-21,belgique,iran,39,138,171,0.9,0.08,0.02,1.416,4.95,8.75,Poule_J2,belgique,nul
39,2026-06-22,uruguay,cap_vert,72,109,137,0.76,0.18,0.06,1.465,4.3,9.45,Poule_J2,uruguay,nul
40,2026-06-22,nouvelle_zelande,egypte,148,116,59,0.09,0.21,0.7,6.22,4.1,1.613,Poule_J2,egypte,egypte
41,2026-06-22,argentine,autriche,63,105,132,0.92,0.07,0.01,1.476,4.5,8.35,Poule_J2,argentine,argentine
42,2026-06-22,france,irak,22,166,189,0.98,0.02,0,1.09,12.5,34,Poule_J2,france,france
43,2026-06-23,norvege,senegal,64,105,137,0.33,0.42,0.25,2.34,3.45,3.29,Poule_J2,senegal,norvege
44,2026-06-23,jordanie,algerie,152,139,67,0.05,0.19,0.77,6.65,4.4,1.555,Poule_J2,algerie,algerie
45,2026-06-23,portugal,ouzbekistan,24,154,173,0.95,0.04,0.01,1.16,9,21,Poule_J2,portugal,portugal
46,2026-06-23,angleterre,ghana,44,127,162,0.93,0.06,0.01,1.181,8,18,Poule_J2,angleterre,nul
47,2026-06-24,panama,croatie,165,123,36,0.02,0.09,0.89,8,4.65,1.454,Poule_J2,croatie,croatie
48,2026-06-24,colombie,congo,77,111,123,0.58,0.34,0.09,1.571,4.15,7,Poule_J2,colombie,colombie
49,2026-06-24,suisse,canada,68,106,129,0.36,0.47,0.17,2.6,3.04,3.24,Poule_J3,canada,suisse
50,2026-06-24,bosnie,qatar,87,102,120,0.61,0.29,0.1,1.436,5.2,7.4,Poule_J3,bosnie,bosnie
51,2026-06-25,ecosse,bresil,145,124,48,0.03,0.08,0.89,10.95,5.75,1.315,Poule_J3,bresil,bresil
52,2026-06-25,maroc,haiti,29,159,187,0.95,0.03,0.01,1.19,7.75,17.75,Poule_J3,maroc,maroc
53,2026-06-25,tchequie,mexique,109,99,91,0.07,0.3,0.64,3.79,3.94,1.98,Poule_J3,mexique,mexique
54,2026-06-25,afrique_du_sud,coree_du_sud,117,103,87,0.09,0.24,0.67,6.12,4.04,1.628,Poule_J3,coree_du_sud,afrique_du_sud
55,2026-06-25,equateur,allemagne,145,129,42,0.03,0.09,0.88,5.5,5.25,1.534,Poule_J3,,
56,2026-06-25,curacao,cote_d_ivoire,163,118,53,0.03,0.09,0.89,16,8.5,1.19,Poule_J3,,
57,2026-06-26,tunisie,pays_bas,131,123,56,0.03,0.08,0.88,31,11.5,1.108,Poule_J3,,
58,2026-06-26,japon,suede,96,108,111,0.42,0.43,0.15,1.952,3.5,4.45,Poule_J3,,
59,2026-06-26,turquie,etats_unis,109,102,93,0.15,0.27,0.57,3.74,4.2,1.934,Poule_J3,,
60,2026-06-26,paraguay,australie,74,104,131,0.37,0.41,0.22,2.7,2.35,4.25,Poule_J3,,
61,2026-06-26,norvege,france,141,108,68,0.03,0.16,0.81,4.97,4.45,1.636,Poule_J3,,
62,2026-06-26,senegal,irak,54,115,149,0.91,0.07,0.02,1.227,6.79,12.23,Poule_J3,,
63,2026-06-27,uruguay,espagne,143,112,57,0.02,0.13,0.84,7.51,4.17,1.505,Poule_J3,,
64,2026-06-27,cap_vert,arabie_saoudite,99,123,94,0.26,0.53,0.21,2.63,3.38,2.8,Poule_J3,,
65,2026-06-27,nouvelle_zelande,belgique,172,129,32,0.04,0.09,0.87,16.19,8.01,1.147,Poule_J3,,
66,2026-06-27,egypte,iran,85,114,123,0.67,0.27,0.06,2.51,2.62,3.93,Poule_J3,,
67,2026-06-27,panama,angleterre,168,137,32,0.02,0.04,0.95,15.31,8.13,1.164,Poule_J3,,
68,2026-06-27,croatie,ghana,57,120,138,0.72,0.21,0.07,1.787,3.22,5.8,Poule_J3,,
69,2026-06-28,colombie,portugal,154,102,55,0.06,0.2,0.73,4.25,3.88,1.826,Poule_J3,,
70,2026-06-28,congo,ouzbekistan,63,107,158,0.69,0.26,0.05,1.751,4.24,4.25,Poule_J3,,
71,2026-06-28,jordanie,argentine,165,145,32,0.02,0.03,0.95,14.31,7.57,1.181,Poule_J3,,
72,2026-06-28,algerie,autriche,96,103,107,0.32,0.43,0.25,3.89,2.17,2.86,Poule_J3,,
