category,selection,cote,gain_mpp,crowd,nation,current_goals,is_eliminated,alpha
favorite,espagne,7.0,80.0,0.13,espagne,,,
favorite,france,5.0,90.0,0.35,france,,,
favorite,angleterre,7.0,100.0,0.04,angleterre,,,
favorite,bresil,13.0,130.0,0.03,bresil,,,
favorite,argentine,9.0,120.0,0.02,argentine,,,
favorite,portugal,10.0,110.0,0.36,portugal,,,
favorite,allemagne,14.95,150.0,0.02,allemagne,,,
favorite,pays_bas,19.0,200.0,0.02,pays_bas,,,
favorite,norvege,29.0,230.0,0.01,norvege,,,
favorite,belgique,51.0,250.0,0.0,belgique,,,
favorite,colombie,41.0,400.0,0.0,colombie,,,
favorite,japon,51.0,400.0,0.0,japon,,,
favorite,maroc,41.0,400.0,0.01,maroc,,,
favorite,etats_unis,41.0,300.0,0.0,etats_unis,,,
scorer,kylian_mbappe,4.0,80.0,0.51,france,2.0,,0.9367
scorer,harry_kane,4.25,100.0,0.1,angleterre,2.0,,0.973
scorer,erling_haaland,11.0,150.0,0.01,norvege,2.0,,0.9937
scorer,lionel_messi,4.25,80.0,0.01,argentine,3.0,,0.997
scorer,cristiano_ronaldo,41.0,200.0,0.04,portugal,0.0,,0.6859
scorer,lamine_yamal,34.0,100.0,0.02,espagne,0.0,,0.7024
scorer,vinicius_junior,41.0,120.0,0.01,bresil,1.0,,0.7291
scorer,memphis_depay,151.0,250.0,0.0,pays_bas,0.0,,0.5999
scorer,romelu_lukaku,51.0,250.0,0.01,belgique,0.0,,0.7869
scorer,nick_woltemade,151.0,300.0,0.0,allemagne,0.0,,0.5649
scorer,brahim_diaz,251.0,400.0,0.0,maroc,0.0,,0.5613
scorer,folarin_balogun,34.0,500.0,0.0,etats_unis,2.0,,0.8086
scorer,andrej_kramaric,251.0,500.0,0.0,croatie,0.0,,0.6458
scorer,mohamed_salah,151.0,600.0,0.0,egypte,0.0,,0.8004
scorer,riyad_mahrez,501.0,700.0,0.0,algerie,0.0,,0.658
scorer,sadio_mane,151.0,800.0,0.0,senegal,0.0,,0.8077
scorer,luis_diaz,34.0,900.0,0.0,colombie,1.0,,0.8374
scorer,darwin_nunez,101.0,900.0,0.0,uruguay,0.0,,0.7964
scorer,viktor_gyokeres,67.0,1000.0,0.0,suede,1.0,,0.9228
scorer,scott_mctominay,251.0,1000.0,0.0,ecosse,0.0,,0.6983
scorer,autre,,150.0,,,,,
field,field,,,,,,,0.75
scorer,mikel_oyarzabal,41.0,,0.06,espagne,0.0,,0.6781
scorer,raphinha,81.0,,0.01,bresil,0.0,,0.6335
scorer,julian_alvarez,51.0,,0.01,argentine,0.0,,0.6547
scorer,ousmane_dembele,81.0,,0.03,france,0.0,,0.5526
scorer,cody_gakpo,101.0,,0.0,pays_bas,0.0,,0.6627
scorer,igor_thiago,101.0,,0.0,bresil,0.0,,0.6021
scorer,michael_olise,67.0,,0.09,france,0.0,,0.576
scorer,desire_doue,101.0,,0.0,france,0.0,,0.5252
scorer,bruno_fernandes,101.0,,0.0,portugal,0.0,,0.5664
scorer,bukayo_saka,101.0,,0.01,angleterre,0.0,,0.5507
scorer,dani_olmo,151.0,,0.0,espagne,0.0,,0.5069
scorer,donyell_malen,101.0,,0.0,pays_bas,0.0,,0.6627
scorer,ferran_torres,101.0,,0.02,espagne,0.0,,0.56
scorer,florian_wirtz,101.0,,0.0,allemagne,0.0,,0.624
scorer,jamal_musiala,81.0,,0.0,allemagne,1.0,,0.6565
scorer,marcus_rashford,67.0,,0.0,angleterre,1.0,,0.6039
scorer,matheus_cunha,151.0,,0.0,bresil,0.0,,0.545
scorer,kai_havertz,13.0,,0.01,allemagne,2.0,,0.9239
scorer,lautaro_martinez,51.0,,0.01,argentine,0.0,,0.6547
scorer,luis_suarez_charris,101.0,,0.0,colombie,0.0,,0.6676
scorer,jeremy_doku,101.0,,0.0,belgique,0.0,,0.6782
scorer,alexander_isak,67.0,,0.0,suede,1.0,,0.9228
scorer,jude_bellingham,67.0,,0.0,angleterre,1.0,,0.6039
scorer,breel_embolo,67.0,,0.0,suisse,1.0,,0.8126
