team,group,cote_victoire,cote_1er,cote_qualif,slot_1er,slot_2e
mexique,A,66,1.584,1.005,10,2
tchequie,A,501,17.00,1.719,10,2
coree_du_sud,A,201,2.80,1.04,10,2
afrique_du_sud,A,1501,81.00,4.69,10,2
suisse,B,101,2.05,1.131,12,2
canada,B,251,2.8,1.181,12,2
bosnie,B,501,5.75,1.378,12,2
qatar,B,1501,26.00,3.53,12,2
bresil,C,13,1.666,1.024,8,3
maroc,C,41,3.00,1.046,8,3
ecosse,C,201,8.01,1.237,8,3
haiti,C,1501,201.12,19.98,8,3
etats_unis,D,41,1.429,1.01,6,15
turquie,D,151,8.68,1.892,6,15
paraguay,D,501,31.67,2.4,6,15
australie,D,151,4.57,1.153,6,15
allemagne,E,14.95,1.359,1.001,0,9
equateur,E,151,13,1.215,0,9
cote_d_ivoire,E,151,4,1.02,0,9
curacao,E,1501,504.47,200,0,9
pays_bas,F,19,2.26,1.083,3,8
japon,F,51,3.37,1.183,3,8
suede,F,124.88,3.24,1.036,3,8
tunisie,F,1001,67.30,11.0,3,8
belgique,G,51,1.568,1.065,7,15
egypte,G,251,4.01,1.194,7,15
iran,G,751,9.03,2.17,7,15
nouvelle_zelande,G,1001,15.06,3.31,7,15
espagne,H,7,1.346,1.024,5,14
uruguay,H,126,4.04,1.235,5,14
arabie_saoudite,H,1001,32.54,2.32,5,14
cap_vert,H,1001,23.06,2.10,5,14
france,I,5.0,1.284,1.006,1,9
norvege,I,29,4.02,1.033,1,9
senegal,I,126,34.09,1.454,1,9
irak,I,1501,251.49,18.85,1,9
argentine,J,9,1.154,1.005,14,5
autriche,J,151,5.5,1.028,14,5
algerie,J,501,67.02,1.714,14,5
jordanie,J,1501,187.96,10.00,14,5
portugal,K,10,1.595,1.035,13,4
colombie,K,41,2.98,1.1,13,4
congo,K,501,16.96,2.24,13,4
ouzbekistan,K,1501,29.01,3,13,4
angleterre,L,7,1.392,1.028,11,4
croatie,L,141.89,4.22,1.206,11,4
ghana,L,401,13.76,1.877,11,4
panama,L,1501,30.62,2.94,11,4
