match_id,team_A,team_B,score,cote,crowd,pts,bet,result
3,canada,bosnie,0-0,9.56,6,,,
3,canada,bosnie,0-1,12.05,2,,,
3,canada,bosnie,0-2,25.97,1,,,
3,canada,bosnie,0-3,75.96,0,,,
3,canada,bosnie,1-0,6.48,17,,1,
3,canada,bosnie,1-1,7.06,18,20,,1
3,canada,bosnie,1-2,16.94,6,,,
3,canada,bosnie,1-3,51.15,1,,,
3,canada,bosnie,1-4,177.72,0,,,
3,canada,bosnie,2-0,8.51,13,,,
3,canada,bosnie,2-1,9.45,24,,,
3,canada,bosnie,2-2,20.34,3,,,
3,canada,bosnie,2-3,61.51,0,,,
3,canada,bosnie,3-0,15.78,2,,,
3,canada,bosnie,3-1,17.67,3,,,
3,canada,bosnie,3-2,36.73,1,,,
3,canada,bosnie,3-3,100.53,0,,,
3,canada,bosnie,4-0,36.12,1,,,
3,canada,bosnie,4-1,40.88,0,,,
3,canada,bosnie,4-2,81.24,0,,,
3,canada,bosnie,5-0,96.01,0,,,
3,canada,bosnie,5-1,107.3,0,,,
3,canada,bosnie,5-2,199.58,0,,,
4,etats_unis,paraguay,0-0,7.77,6,,,
4,etats_unis,paraguay,0-1,9.6,3,,,
4,etats_unis,paraguay,0-2,19.85,1,,,
4,etats_unis,paraguay,0-3,55.77,0,,,
4,etats_unis,paraguay,0-4,179.01,0,,,
4,etats_unis,paraguay,1-0,6.48,13,,1,
4,etats_unis,paraguay,1-1,6.58,11,,,
4,etats_unis,paraguay,1-2,15.44,2,,,
4,etats_unis,paraguay,1-3,43.59,0,,,
4,etats_unis,paraguay,1-4,145.63,0,,,
4,etats_unis,paraguay,2-0,9.56,20,,,
4,etats_unis,paraguay,2-1,10.13,32,,,
4,etats_unis,paraguay,2-2,21.61,2,,,
4,etats_unis,paraguay,2-3,61.32,0,,,
4,etats_unis,paraguay,2-4,180.6,0,,,
4,etats_unis,paraguay,3-0,20.88,2,,,
4,etats_unis,paraguay,3-1,21.95,5,,,
4,etats_unis,paraguay,3-2,43.87,1,,,
4,etats_unis,paraguay,3-3,118.34,0,,,
4,etats_unis,paraguay,4-0,55.35,1,,,
4,etats_unis,paraguay,4-1,58.58,0,100,,1
4,etats_unis,paraguay,4-2,111.1,0,,,
4,etats_unis,paraguay,5-0,166.16,0,,,
4,etats_unis,paraguay,5-1,176.26,0,,,
5,qatar,suisse,0-0,18.3,2,50,,
5,qatar,suisse,0-1,7.43,6,50,1,
5,qatar,suisse,0-2,5.66,29,,,
5,qatar,suisse,0-3,6.68,25,,,
5,qatar,suisse,0-4,10.28,7,,,
5,qatar,suisse,0-5,20.82,2,,,
5,qatar,suisse,0-6,45.41,1,,,
5,qatar,suisse,1-0,32.12,1,,,
5,qatar,suisse,1-1,16.44,1,20,,1
5,qatar,suisse,1-2,11.08,8,,,
5,qatar,suisse,1-3,12.53,7,,,
5,qatar,suisse,1-4,19.68,3,,,
5,qatar,suisse,1-5,37.63,1,,,
5,qatar,suisse,1-6,80.05,0,,,
5,qatar,suisse,2-0,101.25,1,,,
5,qatar,suisse,2-1,46.91,1,,,
5,qatar,suisse,2-2,31.38,0,,,
5,qatar,suisse,2-3,44.24,1,,,
5,qatar,suisse,2-4,65.1,1,,,
5,qatar,suisse,2-5,115.56,1,,,
5,qatar,suisse,2-6,,0,,,
5,qatar,suisse,3-1,194.52,0,,,
